"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0400000US06","California","67169","192",
"0500000US01001","Autauga County, Alabama","55317","2838",
"0500000US01003","Baldwin County, Alabama","52562","1348",
"0500000US01005","Barbour County, Alabama","33368","2551",
"0500000US01007","Bibb County, Alabama","43404","3431",
"0500000US01009","Blount County, Alabama","47412","2630",
"0500000US01011","Bullock County, Alabama","29655","5376",
"0500000US01013","Butler County, Alabama","36326","2701",
"0500000US01015","Calhoun County, Alabama","43686","1491",
"0500000US01017","Chambers County, Alabama","37342","2011",
"0500000US01019","Cherokee County, Alabama","40041","2316",
"0500000US01021","Chilton County, Alabama","43501","2877",
"0500000US01023","Choctaw County, Alabama","32122","2797",
"0500000US01025","Clarke County, Alabama","33827","2336",
"0500000US01027","Clay County, Alabama","37287","6507",
"0500000US01029","Cleburne County, Alabama","37396","5390",
"0500000US01031","Coffee County, Alabama","49821","1945",
"0500000US01033","Colbert County, Alabama","45477","1959",
"0500000US01035","Conecuh County, Alabama","30434","3446",
"0500000US01037","Coosa County, Alabama","34792","3587",
"0500000US01039","Covington County, Alabama","39467","2392",
"0500000US01041","Crenshaw County, Alabama","38937","3177",
"0500000US01043","Cullman County, Alabama","40997","1715",
"0500000US01045","Dale County, Alabama","44711","2010",
"0500000US01047","Dallas County, Alabama","30065","1775",
"0500000US01049","DeKalb County, Alabama","38842","2154",
"0500000US01051","Elmore County, Alabama","54981","2614",
"0500000US01053","Escambia County, Alabama","35026","2265",
"0500000US01055","Etowah County, Alabama","42064","1487",
"0500000US01057","Fayette County, Alabama","36541","2175",
"0500000US01059","Franklin County, Alabama","39501","2912",
"0500000US01061","Geneva County, Alabama","39293","2810",
"0500000US01063","Greene County, Alabama","20954","3315",
"0500000US01065","Hale County, Alabama","34679","2808",
"0500000US01067","Henry County, Alabama","45569","3006",
"0500000US01069","Houston County, Alabama","42803","919",
"0500000US01071","Jackson County, Alabama","39281","1994",
"0500000US01073","Jefferson County, Alabama","49321","913",
"0500000US01075","Lamar County, Alabama","36016","2778",
